condition,set,alpha,phi_mean,phi_std,phi_p01,phi_p99,phi_min,phi_max,phi_bg_std,phi_cell_std
on_NO10_2,primary,0.1,-2.649095352802444e-12,0.02190822921693325,-0.0529433898627758,0.05281266197562218,-0.29049789905548096,0.38226038217544556,0.014452237635850906,0.014298699796199799
on_NO10_2,primary,1.0,-7.036659449566329e-12,0.0055385311134159565,-0.013055816292762756,0.013069272972643375,-0.05202782154083252,0.06722965836524963,0.0030673148576170206,0.003019009716808796
on_serum1,primary,0.0001,-3.819465632659558e-08,0.5450624823570251,-1.1820175647735596,1.3841781616210938,-3.8155112266540527,3.450356960296631,0.32586243748664856,0.25419363379478455
on_serum1,primary,0.001,-2.98023217215615e-10,0.17309390008449554,-0.39041808247566223,0.42153942584991455,-2.7011539936065674,3.1422412395477295,0.11560977250337601,0.10670023411512375
on_serum1,primary,0.01,2.0530488767378507e-11,0.06382178515195847,-0.14036938548088074,0.14073054492473602,-1.9792416095733643,2.390455484390259,0.05650065094232559,0.05565457046031952
on_serum1,primary,0.1,-7.781717110966202e-12,0.024930674582719803,-0.05336826294660568,0.053482700139284134,-0.8637339472770691,0.9923884272575378,0.0206033606082201,0.020579246804118156
on_serum1,primary,1.0,-6.208817097605457e-13,0.006447203457355499,-0.014335879124701023,0.014359572902321815,-0.1848759800195694,0.2199435532093048,0.004698460455983877,0.004701470024883747
on_serum2,primary,0.0001,1.628663781616524e-08,0.4683747887611389,-1.0499610900878906,1.130568027496338,-3.8420228958129883,3.9785563945770264,0.2601144015789032,0.2349821776151657
on_serum2,primary,0.001,-3.1577216397238317e-09,0.15741945803165436,-0.35761210322380066,0.38108330965042114,-3.1120223999023438,3.24845552444458,0.12266551703214645,0.11823505908250809
on_serum2,primary,0.01,-7.947286058407332e-12,0.07268210500478745,-0.15476775169372559,0.15501609444618225,-2.433772325515747,2.4433646202087402,0.06994324922561646,0.07117030024528503
on_serum2,primary,0.1,1.9868214712337462e-11,0.02865077741444111,-0.06143695488572121,0.061100784689188004,-1.178174614906311,0.9896609783172607,0.025453107431530952,0.025913389399647713
on_serum2,primary,1.0,-1.6556845955015276e-12,0.007271402515470982,-0.016666846349835396,0.016608133912086487,-0.2251601219177246,0.20622819662094116,0.005742712412029505,0.0057616992853581905
on_serum3,primary,0.0001,5.340575981449547e-09,0.5048969388008118,-1.2445963621139526,1.3008131980895996,-3.8408114910125732,4.3845038414001465,0.32027292251586914,0.30198368430137634
on_serum3,primary,0.001,4.953808474539301e-10,0.24652910232543945,-0.6471539735794067,0.6945821046829224,-2.463371753692627,2.827596426010132,0.1819269210100174,0.17046411335468292
on_serum3,primary,0.01,-2.7086999310199644e-10,0.09808830916881561,-0.24062712490558624,0.24423529207706451,-1.68658447265625,1.8711625337600708,0.07461950927972794,0.07414267212152481
on_serum3,primary,0.1,9.106265221048293e-12,0.038161925971508026,-0.09417764097452164,0.09446095675230026,-0.6999216675758362,0.6978884935379028,0.025703825056552887,0.025749998167157173
on_serum3,primary,1.0,2.773271629702423e-12,0.008249325677752495,-0.019951144233345985,0.01995139755308628,-0.1529543697834015,0.13948652148246765,0.0050972215831279755,0.005096759647130966
